  0.19291463D-01  0.57664589D+00  0.17747336D+01  0.72785780D+01
  0.15728009D-01 -0.15096785D+01  0.10968457D+01  0.72785780D+01
  0.15728009D-01 -0.15096785D+01 -0.10968457D+01  0.72785780D+01
  0.19291463D-01  0.57664589D+00 -0.17747336D+01  0.72785780D+01
  0.14944652D-02  0.30193571D+01  0.00000000D+00  0.56912081D+01
  0.74207929D-02  0.23129617D+01  0.19408053D+01  0.56912081D+01
  0.28478517D-02 -0.28372675D+01  0.10326809D+01  0.56912081D+01
  0.28478517D-02 -0.28372675D+01 -0.10326809D+01  0.56912081D+01
  0.74207929D-02  0.23129617D+01 -0.19408053D+01  0.56912081D+01
  0.14944731D-02  0.30193571D+01  0.00000000D+00 -0.56912041D+01
  0.74208168D-02  0.23129617D+01  0.19408053D+01 -0.56912041D+01
  0.28478629D-02 -0.28372675D+01  0.10326809D+01 -0.56912041D+01
  0.28478629D-02 -0.28372675D+01 -0.10326809D+01 -0.56912041D+01
  0.74208168D-02  0.23129617D+01 -0.19408053D+01 -0.56912041D+01
  0.14071421D-01  0.18660653D+01  0.00000000D+00 -0.72785740D+01
  0.19291482D-01  0.57664589D+00  0.17747336D+01 -0.72785740D+01
  0.15728018D-01 -0.15096785D+01  0.10968457D+01 -0.72785740D+01
  0.15728018D-01 -0.15096785D+01 -0.10968457D+01 -0.72785740D+01
  0.19291482D-01  0.57664589D+00 -0.17747336D+01 -0.72785740D+01
  0.18446994D-01  0.38879350D-15  0.00000000D+00 -0.78848954D+01
 -0.86476802D-02  0.34367567D+01 -0.46549945D+01  0.46419064D+01
 -0.42887781D-02  0.28911838D+01 -0.27969436D+01  0.46419064D+01
 -0.73650345D-02 -0.32975439D+01 -0.36867483D+01  0.46419064D+01
 -0.81461872D-02 -0.32975439D+01 -0.56232408D+01  0.46419064D+01
 -0.49288877D-02  0.28911838D+01 -0.65130455D+01  0.46419064D+01
 -0.22519478D-01  0.39684249D+01 -0.46549945D+01  0.26576940D+01
 -0.21882473D-01 -0.38531096D+01 -0.37052883D+01  0.26576940D+01
 -0.23439771D-01 -0.38531096D+01 -0.56047008D+01  0.26576940D+01
 -0.23646036D-01  0.34367567D+01 -0.46549945D+01  0.67348152D+00
 -0.17234341D-01  0.34367567D+01 -0.69377062D+01  0.33577260D+01
 -0.23583118D-01  0.39684249D+01 -0.69377062D+01  0.13735136D+01
 -0.25534268D-01 -0.38531096D+01 -0.59880000D+01  0.13735136D+01
 -0.22599632D-01 -0.38531096D+01 -0.78874124D+01  0.13735136D+01
 -0.23646045D-01  0.34367567D+01 -0.46549946D+01 -0.67348124D+00
 -0.22519490D-01  0.39684249D+01 -0.46549946D+01 -0.26576937D+01
 -0.21882480D-01 -0.38531096D+01 -0.37052883D+01 -0.26576937D+01
 -0.23439786D-01 -0.38531096D+01 -0.56047008D+01 -0.26576937D+01
 -0.86476747D-02  0.34367567D+01 -0.46549946D+01 -0.46419061D+01
 -0.42887482D-02  0.28911838D+01 -0.27969436D+01 -0.46419061D+01
 -0.73650193D-02 -0.32975439D+01 -0.36867483D+01 -0.46419061D+01
 -0.81461870D-02 -0.32975439D+01 -0.56232408D+01 -0.46419061D+01
